id_produto,cod_artigo,des_artigo,des_categoria,des_linha,des_colecao,cod_fornecedor,des_status
-1,N/A,Desconhecido,,,,,
1,01.01.16,SUTIA BOJO DAILY -C04935,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
2,01.01.16,SUTIA BOJO DAILY -C04935,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
3,01.01.16,SUTIA BOJO DAILY -C04935,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
4,01.01.16,SUTIA BOJO DAILY -C04935,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
5,01.01.15,FAIXA CANELADA -C03798,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
6,01.01.15,FAIXA CANELADA -C03798,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
7,01.01.15,FAIXA CANELADA -C03798,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
8,01.01.15,FAIXA CANELADA -C03798,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
9,01.01.15,FAIXA CANELADA -C03798,UNDERWARE,BASICO,CONTINUO,TRIFIL,ATIVO
10,01.13.13,CAMISOLA FULL RENDA BOJO - 5213,LINHA NOITE,INDEFINIDA,SEMI-CONTINUO,LU MODAS,INATIVO
11,01.13.14,CAMISOLA CORTINAO BOJO - 5306,LINHA NOITE,INDEFINIDA,VERAO - 2016,LU MODAS,INATIVO
12,01.13.14,CAMISOLA CORTINAO BOJO - 5306,LINHA NOITE,INDEFINIDA,VERAO - 2016,LU MODAS,INATIVO
13,01.13.14,CAMISOLA CORTINAO BOJO - 5306,LINHA NOITE,INDEFINIDA,VERAO - 2016,LU MODAS,INATIVO
14,01.18.45,BIQ PARTE SUPERIOR PONTA 1 - PELETOPP1,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
15,01.18.45,BIQ PARTE SUPERIOR PONTA 1 - PELETOPP1,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
16,01.18.46,BIQ PARTE SUPERIOR PONTA 2 - PELETOPP2,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
17,01.18.46,BIQ PARTE SUPERIOR PONTA 2 - PELETOPP2,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
18,01.18.46,BIQ PARTE SUPERIOR PONTA 2 - PELETOPP2,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
19,01.18.47,BIQ PARTE SUPERIOR PONTA 3 - PELETOPP3,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
20,01.18.47,BIQ PARTE SUPERIOR PONTA 3 - PELETOPP3,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
21,01.18.47,BIQ PARTE SUPERIOR PONTA 3 - PELETOPP3,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
22,01.19.44,BIQ PARTE INFERIOR FIO - PELEP1,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
23,01.19.44,BIQ PARTE INFERIOR FIO - PELEP1,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
24,01.19.45,BIQ PARTE INFERIOR CORTINA - PELEP2,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
25,01.19.45,BIQ PARTE INFERIOR CORTINA - PELEP2,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
26,01.19.45,BIQ PARTE INFERIOR CORTINA - PELEP2,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
27,01.19.46,BIQ PARTE INFERIOR BOMBOM - PELEP3,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
28,01.19.47,BIQ PARTE INFERIOR SHORT - PELEP4,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
29,01.19.47,BIQ PARTE INFERIOR SHORT - PELEP4,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
30,01.19.47,BIQ PARTE INFERIOR SHORT - PELEP4,MODA PRAIA,PRECO,VERAO - 2013,PELE QUENTE,INATIVO
