supplier_code,supplier_name_code,supplier_category,id_produto,cod_artigo,des_artigo,des_produto,product_category,des_linha,des_colecao,val_custo_inicial,qtd_estoque,ultima_venda,velocidade_diaria,coverage_days
100% MORENA,100% MORENA,Geral,23812,C445,BLUSA MC CREPE AVIAMENTO - BRS0963,BLUSA MC,VESTUARIO,WORK,VERAO - 2018,,1.0,,,0.0
100% MORENA,100% MORENA,Geral,23813,C445,BLUSA MC CREPE AVIAMENTO - BRS0963,BLUSA MC,VESTUARIO,WORK,VERAO - 2018,,1.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20977,C1428,CUECA BOXER PESPONTO - 1211,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,6.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20978,C1428,CUECA BOXER PESPONTO - 1211,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,4.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20980,C1428,CUECA BOXER PESPONTO - 1211,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,6.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20981,C1428,CUECA BOXER PESPONTO - 1211,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,7.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20982,C1428,CUECA BOXER PESPONTO - 1211,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,4.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20986,C1429,CUECA BOXER BICOLOR - 1243,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,2.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20987,C1429,CUECA BOXER BICOLOR - 1243,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,14.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20988,C1429,CUECA BOXER BICOLOR - 1243,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,6.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20989,C1430,CUECA BOXER DEGRADE - 1240,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,6.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20990,C1430,CUECA BOXER DEGRADE - 1240,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,13.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20991,C1430,CUECA BOXER DEGRADE - 1240,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,7.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20992,C1430,CUECA BOXER DEGRADE - 1240,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,2.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20993,C1430,CUECA BOXER DEGRADE - 1240,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,3.0,,,0.0
ABSOLUT,ABSOLUT,Geral,20994,C1430,CUECA BOXER DEGRADE - 1240,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,2.0,,,0.0
ABSOLUT,ABSOLUT,Geral,18180,C1429,CUECA BOXER BICOLOR - 1243,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,6.0,,,0.0
ABSOLUT,ABSOLUT,Geral,18181,C1429,CUECA BOXER BICOLOR - 1243,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,20.0,,,0.0
ABSOLUT,ABSOLUT,Geral,18182,C1429,CUECA BOXER BICOLOR - 1243,CUECA,UNDERWARE,MASCULINO,INDEFINIDA,,13.0,,,0.0
ADOORO,ADOORO,Geral,17736,C987,CAMISA MC ARABESCO - BRS1325,CAMISA,VESTUARIO,CASUAL,VERAO - 2019,,1.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34570,C2106,PULSEIRA AJUSTAVEL P2 - JB0064,PULSEIRA,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,1.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34571,C2106,PULSEIRA AJUSTAVEL P2 - JB0064,PULSEIRA,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,2.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34572,C2105,PULSEIRA AJUSTAVEL P1 - JB0063,PULSEIRA,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,5.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34573,C2105,PULSEIRA AJUSTAVEL P1 - JB0063,PULSEIRA,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,3.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34574,C2104,PULSEIRA FESTA STRASS - JB0061,PULSEIRA,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,2.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34577,C2084,EARCUFF  - JB0069,EARCUFF,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,2.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34578,C2084,EARCUFF  - JB0069,EARCUFF,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,2.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34579,C2085,EARCUFF COM BRINCO - JB0070,EARCUFF,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,2.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34580,C2085,EARCUFF COM BRINCO - JB0070,EARCUFF,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,2.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34581,C2048,BRINCO ZIRCONIA FESTA - JB0067,BRINCO,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,2.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34582,C2046,BRINCO FULL STRASS - JB0065,BRINCO,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,1.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34583,C2046,BRINCO FULL STRASS - JB0065,BRINCO,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,2.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34584,C2044,KIT BRINCO - JB0071,BRINCO,BIJU / JOIAS,FOLHEADO,VERAO - 2020,,1.0,,,0.0
AMOR BIJU,AMOR BIJU,Geral,34586,C2039,BRINCO ARGOLA MEDIA PEDRAS - JB0066,BRINCO,BIJU / JOIAS,BIJOUTERIA,VERAO - 2020,,2.0,,,0.0
ANANY,ANANY,Geral,26031,C1703,PARCA CAPUZ REMOVIVEL - BRS1646,PARKA,VESTUARIO,CASUAL,INVERNO - 2019,,4.0,2020-05-08,0.011111111111111112,360.0
ANANY,ANANY,Geral,17081,C2164,CAMISETA RENDADA - BRS1850,CAMISETA MC,VESTUARIO,CASUAL,VERAO - 2020,,2.0,,,0.0
ANANY,ANANY,Geral,23752,C372,CAMISETA MC NAVY BOTAO - BRS0921,CAMISETA MC,VESTUARIO,CASUAL,VERAO - 2018,,1.0,,,0.0
ANANY,ANANY,Geral,17118,C2168,BLUSA BORDADO INVISIVEL - BRS1854,BLUSA MC,VESTUARIO,CASUAL,VERAO - 2020,,1.0,,,0.0
ANANY,ANANY,Geral,17119,C2168,BLUSA BORDADO INVISIVEL - BRS1854,BLUSA MC,VESTUARIO,CASUAL,VERAO - 2020,,2.0,,,0.0
ANANY,ANANY,Geral,17120,C2168,BLUSA BORDADO INVISIVEL - BRS1854,BLUSA MC,VESTUARIO,CASUAL,VERAO - 2020,,1.0,,,0.0
ANANY,ANANY,Geral,17122,C2168,BLUSA BORDADO INVISIVEL - BRS1854,BLUSA MC,VESTUARIO,CASUAL,VERAO - 2020,,1.0,,,0.0
ANANY,ANANY,Geral,17124,C2168,BLUSA BORDADO INVISIVEL - BRS1854,BLUSA MC,VESTUARIO,CASUAL,VERAO - 2020,,1.0,,,0.0
ANANY,ANANY,Geral,17098,C2166,REGATA BORDADO VERTICAL - BRS1852,REGATA LARGA,VESTUARIO,CASUAL,VERAO - 2020,,6.0,,,0.0
ANANY,ANANY,Geral,17082,C2164,CAMISETA RENDADA - BRS1850,CAMISETA MC,VESTUARIO,CASUAL,VERAO - 2020,,4.0,,,0.0
