ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,All Souls' Day,All Souls' Day_lower,All Souls' Day_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Good Friday,Good Friday_lower,Good Friday_upper,Independence Day,Independence Day_lower,Independence Day_upper,Our Lady of Aparecida,Our Lady of Aparecida_lower,Our Lady of Aparecida_upper,Republic Proclamation Day,Republic Proclamation Day_lower,Republic Proclamation Day_upper,Tiradentes' Day,Tiradentes' Day_lower,Tiradentes' Day_upper,Universal Fraternization Day,Universal Fraternization Day_lower,Universal Fraternization Day_upper,Worker's Day,Worker's Day_lower,Worker's Day_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,categoria
2017-12-01,941.145898,698.4697479319012,1158.1001471377847,941.145898,941.145898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00266264286105658,-0.00266264286105658,-0.00266264286105658,-0.00266264286105658,-0.00266264286105658,-0.00266264286105658,0.0,0.0,0.0,938.6399625934777,UNDERWARE
2017-12-02,939.863489687572,675.7484998983653,1155.8247275620051,939.863489687572,939.863489687572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01933974230101773,-0.01933974230101773,-0.01933974230101773,-0.01933974230101773,-0.01933974230101773,-0.01933974230101773,0.0,0.0,0.0,921.6867719988792,UNDERWARE
2017-12-03,938.581081375144,670.8597700960789,1145.1096681313795,938.581081375144,938.581081375144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028720118898294594,-0.028720118898294594,-0.028720118898294594,-0.028720118898294594,-0.028720118898294594,-0.028720118898294594,0.0,0.0,0.0,911.6249211223599,UNDERWARE
2017-12-04,937.298673062716,662.3285885677233,1139.5517685221675,937.298673062716,937.298673062716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03035770090706577,-0.03035770090706577,-0.03035770090706577,-0.03035770090706577,-0.03035770090706577,-0.03035770090706577,0.0,0.0,0.0,908.8444402852884,UNDERWARE
2017-12-05,936.016264750288,671.7495488985581,1150.2594785559759,936.016264750288,936.016264750288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02398969532362255,-0.02398969532362255,-0.02398969532362255,-0.02398969532362255,-0.02398969532362255,-0.02398969532362255,0.0,0.0,0.0,913.5615197409734,UNDERWARE
2017-12-06,934.73385643786,697.3417170088475,1169.7015433841605,934.73385643786,934.73385643786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009545891822538288,-0.009545891822538288,-0.009545891822538288,-0.009545891822538288,-0.009545891822538288,-0.009545891822538288,0.0,0.0,0.0,925.8109881614402,UNDERWARE
2017-12-07,933.451448125432,711.8708580219699,1188.6710660300885,933.451448125432,933.451448125432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012846706448254225,0.012846706448254225,0.012846706448254225,0.012846706448254225,0.012846706448254225,0.012846706448254225,0.0,0.0,0.0,945.4432248631972,UNDERWARE
2017-12-08,932.1690398130041,730.4227151114218,1222.2148272540658,932.1690398130041,932.1690398130041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04286408196114977,0.04286408196114977,0.04286408196114977,0.04286408196114977,0.04286408196114977,0.04286408196114977,0.0,0.0,0.0,972.1256099371949,UNDERWARE
2017-12-09,930.8866315005762,780.7624661143301,1251.380944279415,930.8866315005762,930.8866315005762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799902656571127,0.0799902656571127,0.0799902656571127,0.0799902656571127,0.0799902656571127,0.0799902656571127,0.0,0.0,0.0,1005.3485004509621,UNDERWARE
2017-12-10,929.6042231881481,794.2492389861542,1281.2910471648897,929.6042231881481,929.6042231881481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12352717300093163,0.12352717300093163,0.12352717300093163,0.12352717300093163,0.12352717300093163,0.12352717300093163,0.0,0.0,0.0,1044.4356048883071,UNDERWARE
