id_data,id_loja,des_estabelecimento,id_produto,qtd_estoque
20191130,8,CAMPINAS,14921,7
20191130,16,VALINHOS,21189,1
20191130,15,ATIBAIA,22863,3
20191130,23,BRAGANÇA,20180,1
20191130,4,INDAIATUBA,23614,1
20191130,15,ATIBAIA,709,1
20191130,15,ATIBAIA,234,4
20191130,20,SOROCABA,2440,3
20191130,6,ITATIBA,20572,3
20191130,7,GLICERIO,16999,3
20191130,9,SUMARE,21993,1
20191130,16,VALINHOS,34066,1
20191130,20,SOROCABA,10088,1
20191130,8,CAMPINAS,6677,1
20191130,20,SOROCABA,16434,2
20191130,4,INDAIATUBA,19277,5
20191130,20,SOROCABA,18494,2
20191130,15,ATIBAIA,15315,13
20191130,16,VALINHOS,15547,2
20191130,9,SUMARE,409,6
20191130,4,INDAIATUBA,14100,4
20191130,16,VALINHOS,31175,2
20191130,7,GLICERIO,8805,3
20191130,16,VALINHOS,33762,3
20191130,8,CAMPINAS,30709,3
20191130,4,INDAIATUBA,32972,3
20191130,6,ITATIBA,18025,1
20191130,23,BRAGANÇA,26703,1
20191130,8,CAMPINAS,20878,2
20191130,15,ATIBAIA,30096,1
20191130,27,SALTO,34138,1
20191130,27,SALTO,20593,1
20191130,8,CAMPINAS,33310,1
20191130,27,SALTO,16577,2
20191130,20,SOROCABA,34547,12
20191130,16,VALINHOS,33119,3
20191130,16,VALINHOS,31851,2
20191130,9,SUMARE,31167,1
20191130,7,GLICERIO,6299,2
20191130,15,ATIBAIA,34137,1
20191130,15,ATIBAIA,28669,1
20191130,6,ITATIBA,31188,6
20191130,23,BRAGANÇA,26739,3
20191130,8,CAMPINAS,12792,3
20191130,6,ITATIBA,18788,1
20191130,23,BRAGANÇA,27640,1
20191130,4,INDAIATUBA,2088,5
20191130,15,ATIBAIA,16973,1
20191130,23,BRAGANÇA,12942,1
20191130,20,SOROCABA,3213,3
20191130,4,INDAIATUBA,20273,2
20191130,15,ATIBAIA,17989,4
20191130,4,INDAIATUBA,27197,5
20191130,9,SUMARE,34453,1
20191130,16,VALINHOS,30231,1
20191130,23,BRAGANÇA,3549,1
20191130,23,BRAGANÇA,15011,1
20191130,15,ATIBAIA,26315,3
20191130,8,CAMPINAS,15297,2
20191130,16,VALINHOS,14817,2
20191130,7,GLICERIO,11272,3
20191130,20,SOROCABA,14044,1
20191130,6,ITATIBA,34070,1
20191130,16,VALINHOS,34754,3
20191130,16,VALINHOS,26721,4
20191130,4,INDAIATUBA,24778,1
20191130,9,SUMARE,1560,11
20191130,20,SOROCABA,10094,2
20191130,20,SOROCABA,11776,1
20191130,4,INDAIATUBA,28934,2
20191130,15,ATIBAIA,166,8
20191130,6,ITATIBA,27861,1
20191130,4,INDAIATUBA,32196,1
20191130,9,SUMARE,7645,1
20191130,8,CAMPINAS,22273,1
20191130,16,VALINHOS,15762,1
20191130,7,GLICERIO,6348,5
20191130,20,SOROCABA,10448,4
20191130,27,SALTO,21021,2
20191130,6,ITATIBA,19365,2
20191130,4,INDAIATUBA,21211,1
20191130,8,CAMPINAS,11313,6
20191130,16,VALINHOS,34856,2
20191130,7,GLICERIO,3521,6
20191130,23,BRAGANÇA,20688,1
20191130,27,SALTO,31153,1
20191130,7,GLICERIO,32290,5
20191130,27,SALTO,20398,3
20191130,4,INDAIATUBA,21222,2
20191130,8,CAMPINAS,18283,2
20191130,4,INDAIATUBA,542,4
20191130,6,ITATIBA,15260,1
20191130,6,ITATIBA,20193,1
20191130,23,BRAGANÇA,16704,2
20191130,27,SALTO,20269,2
20191130,6,ITATIBA,30891,7
20191130,4,INDAIATUBA,34815,1
20191130,27,SALTO,30884,1
20191130,20,SOROCABA,34051,2
20191130,16,VALINHOS,32820,1
20191130,15,ATIBAIA,1569,1
20191130,4,INDAIATUBA,18352,1
20191130,8,CAMPINAS,23922,3
20191130,16,VALINHOS,19331,3
20191130,7,GLICERIO,21315,3
20191130,23,BRAGANÇA,16596,2
20191130,23,BRAGANÇA,19327,3
20191130,20,SOROCABA,16191,2
20191130,7,GLICERIO,20902,2
20191130,23,BRAGANÇA,34011,1
20191130,8,CAMPINAS,26722,3
20191130,8,CAMPINAS,32785,1
20191130,16,VALINHOS,6115,3
20191130,7,GLICERIO,30894,2
20191130,4,INDAIATUBA,21798,1
20191130,8,CAMPINAS,31089,2
20191130,7,GLICERIO,32297,1
20191130,7,GLICERIO,30570,3
20191130,20,SOROCABA,30572,2
20191130,7,GLICERIO,33898,2
20191130,27,SALTO,29045,7
20191130,6,ITATIBA,15858,1
20191130,23,BRAGANÇA,33770,3
20191130,4,INDAIATUBA,20877,1
20191130,8,CAMPINAS,2416,1
20191130,15,ATIBAIA,54,1
20191130,9,SUMARE,34194,2
20191130,9,SUMARE,34459,1
20191130,16,VALINHOS,26365,3
20191130,15,ATIBAIA,11295,8
20191130,7,GLICERIO,21983,2
20191130,23,BRAGANÇA,16063,3
20191130,6,ITATIBA,34381,1
20191130,16,VALINHOS,10186,1
20191130,9,SUMARE,22965,2
20191130,6,ITATIBA,15046,4
20191130,15,ATIBAIA,26748,11
20191130,20,SOROCABA,20282,3
20191130,9,SUMARE,33252,1
20191130,4,INDAIATUBA,30902,1
20191130,20,SOROCABA,22718,2
20191130,27,SALTO,15734,1
20191130,7,GLICERIO,34025,1
20191130,8,CAMPINAS,24722,1
20191130,6,ITATIBA,18348,1
20191130,16,VALINHOS,20065,1
20191130,6,ITATIBA,1556,1
20191130,15,ATIBAIA,16963,1
20191130,23,BRAGANÇA,20687,1
20191130,23,BRAGANÇA,33568,1
20191130,7,GLICERIO,30063,1
20191130,20,SOROCABA,20054,2
20191130,20,SOROCABA,30230,1
20191130,15,ATIBAIA,8345,70
20191130,15,ATIBAIA,5789,4
20191130,9,SUMARE,20921,2
20191130,6,ITATIBA,34536,5
20191130,20,SOROCABA,34393,1
20191130,7,GLICERIO,21813,1
20191130,23,BRAGANÇA,18286,2
20191130,9,SUMARE,17018,2
20191130,6,ITATIBA,11310,3
20191130,6,ITATIBA,26434,1
20191130,8,CAMPINAS,17028,5
20191130,15,ATIBAIA,32325,1
20191130,27,SALTO,12674,1
20191130,8,CAMPINAS,15065,1
20191130,8,CAMPINAS,16179,2
20191130,7,GLICERIO,15545,5
20191130,16,VALINHOS,33974,2
20191130,15,ATIBAIA,22553,1
20191130,23,BRAGANÇA,21288,2
20191130,15,ATIBAIA,26755,4
20191130,4,INDAIATUBA,34083,1
20191130,23,BRAGANÇA,18171,1
20191130,9,SUMARE,19380,2
20191130,6,ITATIBA,34190,2
20191130,9,SUMARE,14523,1
20191130,20,SOROCABA,14799,1
20191130,4,INDAIATUBA,31785,2
20191130,27,SALTO,16061,8
20191130,6,ITATIBA,34067,1
20191130,27,SALTO,33612,2
20191130,6,ITATIBA,19228,2
20191130,20,SOROCABA,18844,1
20191130,27,SALTO,30742,1
20191130,8,CAMPINAS,20105,2
20191130,16,VALINHOS,18322,2
20191130,9,SUMARE,7364,6
20191130,27,SALTO,16226,2
20191130,8,CAMPINAS,20286,2
20191130,15,ATIBAIA,1623,4
20191130,16,VALINHOS,21991,2
20191130,4,INDAIATUBA,20255,3
20191130,23,BRAGANÇA,31172,2
20191130,27,SALTO,15404,6
20191130,6,ITATIBA,19668,1
20191130,15,ATIBAIA,19363,2
20191130,20,SOROCABA,20454,2
20191130,23,BRAGANÇA,33028,1
20191130,16,VALINHOS,24800,3
20191130,4,INDAIATUBA,14917,2
20191130,4,INDAIATUBA,18884,1
20191130,27,SALTO,33373,3
20191130,23,BRAGANÇA,30229,1
20191130,6,ITATIBA,12789,4
20191130,20,SOROCABA,23600,1
20191130,4,INDAIATUBA,31807,3
20191130,9,SUMARE,21301,2
20191130,7,GLICERIO,5767,1
20191130,9,SUMARE,4055,2
20191130,23,BRAGANÇA,27944,1
20191130,15,ATIBAIA,14492,6
20191130,15,ATIBAIA,6674,10
20191130,8,CAMPINAS,166,5
20191130,9,SUMARE,31217,2
20191130,16,VALINHOS,31900,4
20191130,8,CAMPINAS,33023,2
20191130,8,CAMPINAS,33267,1
20191130,8,CAMPINAS,23487,1
20191130,23,BRAGANÇA,18187,1
20191130,8,CAMPINAS,20901,5
20191130,15,ATIBAIA,19218,5
20191130,9,SUMARE,24314,4
20191130,4,INDAIATUBA,13146,7
20191130,27,SALTO,28362,2
20191130,15,ATIBAIA,34326,1
20191130,20,SOROCABA,32859,2
20191130,20,SOROCABA,9727,7
20191130,8,CAMPINAS,34069,2
20191130,27,SALTO,21145,2
20191130,6,ITATIBA,33035,2
20191130,9,SUMARE,14841,2
20191130,6,ITATIBA,34000,1
20191130,6,ITATIBA,34848,1
20191130,7,GLICERIO,15542,4
20191130,20,SOROCABA,20072,2
20191130,16,VALINHOS,26753,2
20191130,7,GLICERIO,20382,2
20191130,16,VALINHOS,11074,2
20191130,15,ATIBAIA,29070,2
20191130,27,SALTO,2509,2
20191130,8,CAMPINAS,20053,2
20191130,9,SUMARE,23422,2
20191130,16,VALINHOS,293,1
20191130,23,BRAGANÇA,3242,7
20191130,16,VALINHOS,1571,2
20191130,6,ITATIBA,34057,2
20191130,9,SUMARE,31913,5
20191130,15,ATIBAIA,33645,2
20191130,20,SOROCABA,5147,1
20191130,8,CAMPINAS,32280,2
20191130,15,ATIBAIA,26752,7
20191130,15,ATIBAIA,29984,3
20191130,4,INDAIATUBA,30231,2
20191130,9,SUMARE,21249,2
20191130,6,ITATIBA,15248,4
20191130,4,INDAIATUBA,10390,1
20191130,20,SOROCABA,28362,5
20191130,8,CAMPINAS,18320,1
20191130,4,INDAIATUBA,24741,1
20191130,23,BRAGANÇA,33898,1
20191130,15,ATIBAIA,6320,3
20191130,27,SALTO,20250,3
20191130,23,BRAGANÇA,13985,2
20191130,20,SOROCABA,14934,12
20191130,15,ATIBAIA,34349,1
20191130,7,GLICERIO,22389,1
20191130,6,ITATIBA,31193,13
20191130,8,CAMPINAS,6320,3
20191130,23,BRAGANÇA,33939,1
20191130,20,SOROCABA,27865,3
20191130,8,CAMPINAS,18298,3
20191130,27,SALTO,24818,8
20191130,20,SOROCABA,9882,20
20191130,8,CAMPINAS,19270,34
20191130,20,SOROCABA,33934,2
20191130,8,CAMPINAS,28351,3
20191130,6,ITATIBA,33531,1
20191130,16,VALINHOS,21979,2
20191130,15,ATIBAIA,19291,6
20191130,15,ATIBAIA,34321,1
20191130,20,SOROCABA,21793,1
20191130,7,GLICERIO,25119,3
20191130,23,BRAGANÇA,20289,1
20191130,15,ATIBAIA,33972,1
20191130,23,BRAGANÇA,34508,1
20191130,27,SALTO,22225,1
20191130,15,ATIBAIA,7328,2
20191130,6,ITATIBA,18279,2
20191130,8,CAMPINAS,10197,2
20191130,4,INDAIATUBA,33738,2
20191130,8,CAMPINAS,4456,1
20191130,4,INDAIATUBA,34400,1
20191130,20,SOROCABA,34125,1
20191130,23,BRAGANÇA,17683,1
20191130,7,GLICERIO,31960,2
20191130,9,SUMARE,10091,4
20191130,15,ATIBAIA,34354,1
20191130,23,BRAGANÇA,19451,1
20191130,15,ATIBAIA,21854,1
20191130,7,GLICERIO,16180,1
20191130,9,SUMARE,29963,2
20191130,9,SUMARE,8130,9
20191130,16,VALINHOS,15246,7
20191130,7,GLICERIO,32864,2
20191130,8,CAMPINAS,420,4
20191130,9,SUMARE,7886,7
20191130,23,BRAGANÇA,31906,4
20191130,6,ITATIBA,18082,1
20191130,9,SUMARE,31939,1
20191130,6,ITATIBA,33359,3
20191130,7,GLICERIO,11309,2
20191130,8,CAMPINAS,8743,2
20191130,15,ATIBAIA,20914,1
20191130,15,ATIBAIA,30228,1
20191130,15,ATIBAIA,4273,2
20191130,7,GLICERIO,32818,3
20191130,16,VALINHOS,14040,1
20191130,20,SOROCABA,34736,3
20191130,6,ITATIBA,11329,2
20191130,9,SUMARE,16122,2
20191130,9,SUMARE,24808,1
20191130,16,VALINHOS,30153,1
20191130,6,ITATIBA,6,7
20191130,7,GLICERIO,34077,3
20191130,9,SUMARE,13148,10
20191130,8,CAMPINAS,35071,3
20191130,9,SUMARE,889,10
