alert_date,product_id,category,regime,supplier,coverage_days,quantity,urgency,unit_cost,total_cost,substitutes_count
2019-12-01,17978,FITNESS,commodity,FOREVER FITNESS,27.0,84,MEDIUM,0.0,0.0,0
2019-12-01,19266,UNDERWARE,commodity,FEMINIS,19.0,96,MEDIUM,0.0,0.0,5
2019-12-01,21100,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0
2019-12-01,33948,MODA PRAIA,seasonal,HERMES BALI,19.0,192,MEDIUM,0.0,0.0,0
2019-12-02,12761,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,5
2019-12-03,35170,MODA PRAIA,seasonal,CLASS,29.0,180,MEDIUM,0.0,0.0,0
2019-12-04,14653,UNDERWARE,commodity,VI LINGERIE,18.0,96,MEDIUM,0.0,0.0,5
2019-12-04,19269,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5
2019-12-04,19286,UNDERWARE,commodity,FEMINIS,16.0,96,MEDIUM,0.0,0.0,5
2019-12-04,29048,UNDERWARE,commodity,FINA ESTAMPA,15.0,96,MEDIUM,0.0,0.0,5
2019-12-05,14926,UNDERWARE,commodity,FEMINIS,15.0,96,MEDIUM,0.0,0.0,5
2019-12-05,21090,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0
2019-12-07,15311,UNDERWARE,commodity,ZEE RUCCI,16.0,96,MEDIUM,0.0,0.0,0
2019-12-07,17026,MODA PRAIA,commodity,CLASS,23.0,84,MEDIUM,0.0,0.0,5
2019-12-07,22944,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5
2019-12-07,33944,MODA PRAIA,seasonal,HERMES BALI,29.0,180,MEDIUM,0.0,0.0,0
2019-12-08,7884,UNDERWARE,commodity,VI LINGERIE,21.0,84,MEDIUM,19.89,1670.76,5
2019-12-08,33949,MODA PRAIA,seasonal,HERMES BALI,19.0,192,MEDIUM,0.0,0.0,0
2019-12-09,47,UNDERWARE,commodity,TRIFIL,15.0,96,MEDIUM,10.07,966.72,5
2019-12-09,3744,UNDERWARE,commodity,CLASS,24.0,84,MEDIUM,5.48,460.32,5
2019-12-11,16282,UNDERWARE,commodity,TRIFIL,23.0,84,MEDIUM,0.0,0.0,5
2019-12-12,4353,MODA PRAIA,commodity,RIVANNA,16.0,96,MEDIUM,20.93,2009.28,5
2019-12-13,18197,UNDERWARE,commodity,JESCRI,20.0,96,MEDIUM,0.0,0.0,0
2019-12-13,33950,MODA PRAIA,seasonal,HERMES BALI,19.0,192,MEDIUM,0.0,0.0,0
2019-12-14,21072,FITNESS,commodity,FOREVER FITNESS,17.0,96,MEDIUM,0.0,0.0,0
2019-12-14,22950,UNDERWARE,commodity,FEMINIS,20.0,96,MEDIUM,0.0,0.0,5
2019-12-14,22953,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5
2019-12-15,15551,MODA PRAIA,commodity,CLASS,20.0,96,MEDIUM,0.0,0.0,0
2019-12-15,19285,UNDERWARE,commodity,FEMINIS,18.0,96,MEDIUM,0.0,0.0,5
2019-12-15,21982,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2019-12-15,21992,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2019-12-15,29944,UNDERWARE,commodity,CLASS,15.0,96,MEDIUM,5.48,526.08,5
2019-12-17,33956,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0
2019-12-19,6575,UNDERWARE,commodity,MASH,22.0,84,MEDIUM,11.86,996.24,4
2019-12-19,8126,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,13.16,1105.44,5
2019-12-20,13138,UNDERWARE,commodity,VI LINGERIE,15.0,96,MEDIUM,12.9,1238.4,5
2019-12-20,21989,FITNESS,commodity,FOREVER FITNESS,18.0,96,MEDIUM,0.0,0.0,0
2019-12-20,22945,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5
2019-12-21,33946,MODA PRAIA,seasonal,HERMES BALI,29.0,180,MEDIUM,0.0,0.0,0
2019-12-22,12761,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,5
2019-12-24,8344,UNDERWARE,commodity,ZEE RUCCI,29.5,156,MEDIUM,4.33,675.48,3
2019-12-24,14653,UNDERWARE,commodity,VI LINGERIE,18.0,96,MEDIUM,0.0,0.0,5
2019-12-24,15242,UNDERWARE,commodity,DEMILLUS,15.0,96,MEDIUM,0.0,0.0,5
2019-12-24,35170,MODA PRAIA,seasonal,CLASS,29.0,180,MEDIUM,0.0,0.0,0
2019-12-26,16057,MODA PRAIA,seasonal,CLASS,19.0,192,MEDIUM,0.0,0.0,0
2019-12-26,19266,UNDERWARE,commodity,FEMINIS,17.0,96,MEDIUM,0.0,0.0,5
2019-12-27,17026,MODA PRAIA,commodity,CLASS,21.0,84,MEDIUM,0.0,0.0,5
2019-12-28,7884,UNDERWARE,commodity,VI LINGERIE,21.0,84,MEDIUM,19.89,1670.76,5
2019-12-28,15311,UNDERWARE,commodity,ZEE RUCCI,15.0,96,MEDIUM,0.0,0.0,0
2019-12-28,22947,UNDERWARE,commodity,FEMINIS,21.0,84,MEDIUM,0.0,0.0,5
2019-12-29,3744,UNDERWARE,commodity,CLASS,24.0,84,MEDIUM,5.48,460.32,5
2019-12-29,18006,FITNESS,commodity,FOREVER FITNESS,29.0,84,MEDIUM,0.0,0.0,5
2019-12-29,24820,UNDERWARE,commodity,FINA ESTAMPA,16.0,96,MEDIUM,0.0,0.0,5
2019-12-30,47,UNDERWARE,commodity,TRIFIL,15.0,96,MEDIUM,10.07,966.72,5
2019-12-30,14926,UNDERWARE,commodity,FEMINIS,15.0,96,MEDIUM,0.0,0.0,5
2019-12-30,17982,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0
2019-12-31,19269,UNDERWARE,commodity,FEMINIS,23.0,84,MEDIUM,0.0,0.0,5
2019-12-31,21100,FITNESS,commodity,FOREVER FITNESS,22.0,84,MEDIUM,0.0,0.0,0
2020-01-01,17978,FITNESS,commodity,FOREVER FITNESS,27.0,84,MEDIUM,0.0,0.0,0
2020-01-01,21950,MODA PRAIA,commodity,LAMAR,15.0,96,MEDIUM,0.0,0.0,2
2020-01-01,22944,UNDERWARE,commodity,FEMINIS,22.0,84,MEDIUM,0.0,0.0,5
2020-01-01,26731,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,0
2020-01-03,16282,UNDERWARE,commodity,TRIFIL,23.0,84,MEDIUM,0.0,0.0,5
2020-01-03,20109,MODA PRAIA,seasonal,CLASS,24.0,180,MEDIUM,0.0,0.0,5
2020-01-03,21972,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0
2020-01-04,15551,MODA PRAIA,commodity,CLASS,20.0,96,MEDIUM,0.0,0.0,0
2020-01-04,21966,FITNESS,commodity,FOREVER FITNESS,16.0,96,MEDIUM,0.0,0.0,0
2020-01-05,21090,FITNESS,commodity,FOREVER FITNESS,28.0,84,MEDIUM,0.0,0.0,0
2020-01-06,15307,UNDERWARE,commodity,ZEE RUCCI,15.0,96,MEDIUM,0.0,0.0,5
2020-01-07,4353,MODA PRAIA,commodity,RIVANNA,15.0,96,MEDIUM,20.93,2009.28,5
2020-01-08,22953,UNDERWARE,commodity,FEMINIS,23.0,84,MEDIUM,0.0,0.0,5
2020-01-09,8126,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,13.16,1105.44,5
2020-01-09,17988,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0
2020-01-09,19285,UNDERWARE,commodity,FEMINIS,18.0,96,MEDIUM,0.0,0.0,5
2020-01-09,21960,FITNESS,commodity,FOREVER FITNESS,15.0,96,MEDIUM,0.0,0.0,0
2020-01-09,33948,MODA PRAIA,seasonal,HERMES BALI,18.0,192,MEDIUM,0.0,0.0,0
2020-01-11,22950,UNDERWARE,commodity,FEMINIS,18.0,96,MEDIUM,0.0,0.0,5
2020-01-11,27939,MODA PRAIA,seasonal,CLASS,18.0,192,MEDIUM,0.0,0.0,0
2020-01-11,33944,MODA PRAIA,seasonal,HERMES BALI,27.0,180,MEDIUM,0.0,0.0,0
2020-01-12,12595,MODA PRAIA,commodity,CLASS,18.0,96,MEDIUM,11.65,1118.4,5
2020-01-12,22952,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5
2020-01-12,29027,UNDERWARE,commodity,FINA ESTAMPA,30.0,84,MEDIUM,0.0,0.0,5
2020-01-12,33949,MODA PRAIA,seasonal,HERMES BALI,17.0,192,MEDIUM,0.0,0.0,0
2020-01-14,17998,FITNESS,commodity,FOREVER FITNESS,17.0,96,MEDIUM,0.0,0.0,0
2020-01-14,21982,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2020-01-14,22945,UNDERWARE,commodity,FEMINIS,23.0,84,MEDIUM,0.0,0.0,5
2020-01-15,21992,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2020-01-16,16057,MODA PRAIA,seasonal,CLASS,17.0,192,MEDIUM,0.0,0.0,0
2020-01-17,18197,UNDERWARE,commodity,JESCRI,20.0,96,MEDIUM,0.0,0.0,0
2020-01-17,21072,FITNESS,commodity,FOREVER FITNESS,17.0,96,MEDIUM,0.0,0.0,0
2020-01-18,33950,MODA PRAIA,seasonal,HERMES BALI,17.0,192,MEDIUM,0.0,0.0,0
2020-01-18,33956,FITNESS,commodity,FOREVER FITNESS,22.0,84,MEDIUM,0.0,0.0,0
2020-01-19,21989,FITNESS,commodity,FOREVER FITNESS,18.0,96,MEDIUM,0.0,0.0,0
2020-01-21,6575,UNDERWARE,commodity,MASH,22.0,84,MEDIUM,11.86,996.24,4
2020-01-22,15273,MODA PRAIA,seasonal,CLASS,16.0,192,MEDIUM,0.0,0.0,0
2020-01-22,22947,UNDERWARE,commodity,FEMINIS,20.0,96,MEDIUM,0.0,0.0,5
2020-01-23,15242,UNDERWARE,commodity,DEMILLUS,15.0,96,MEDIUM,0.0,0.0,5
2020-01-23,20109,MODA PRAIA,seasonal,CLASS,24.0,180,MEDIUM,0.0,0.0,5
2020-01-23,26731,MODA PRAIA,commodity,CLASS,29.0,84,MEDIUM,0.0,0.0,0
