alert_date,product_id,category,regime,supplier,coverage_days,quantity,urgency,unit_cost,total_cost,substitutes_count,product_name,product_code,has_pending_order,pending_order_date,pending_expected_date,days_until_expected_arrival,risk_score
2019-12-01,17978,FITNESS,commodity,FOREVER FITNESS,27.0,84,MEDIUM,0.0,0.0,0,CALCA BASICA ESTAMPADA - 75,C40,True,2019-12-01,2019-12-31,30,HIGH
2019-12-01,19266,UNDERWARE,commodity,FEMINIS,19.0,96,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2019-12-01,2019-12-26,25,HIGH
2019-12-01,21100,FITNESS,commodity,FOREVER FITNESS,23.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2019-12-01,2019-12-31,30,HIGH
2019-12-01,33948,MODA PRAIA,seasonal,HERMES BALI,19.0,192,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1916,C2470,True,2019-12-01,2020-01-05,35,HIGH
2019-12-02,12761,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,5,TOP DRAPEADO LISO - 704B6005,C191,True,2019-12-02,2019-12-22,20,LOW
2019-12-03,35170,MODA PRAIA,seasonal,CLASS,29.0,180,MEDIUM,0.0,0.0,0,CALCA FIO AMAR COR EST - ARC4062E,C184,True,2019-12-03,2019-12-23,20,LOW
2019-12-04,14653,UNDERWARE,commodity,VI LINGERIE,18.0,96,MEDIUM,0.0,0.0,5,SOUTIEN TQC ALÇA SILICONE - 110509,01.70.85,True,2019-12-04,2019-12-24,20,HIGH
2019-12-04,19269,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2019-12-04,2019-12-29,25,HIGH
2019-12-04,19286,UNDERWARE,commodity,FEMINIS,16.0,96,MEDIUM,0.0,0.0,5,CAL FD RENDA - C122,C1807,True,2019-12-04,2019-12-29,25,HIGH
2019-12-04,29048,UNDERWARE,commodity,FINA ESTAMPA,15.0,96,MEDIUM,0.0,0.0,5,CALCINHA FIO DUPLO RENDA - 945,C1881,True,2019-12-04,2020-01-08,35,HIGH
2019-12-05,14926,UNDERWARE,commodity,FEMINIS,15.0,96,MEDIUM,0.0,0.0,5,CAL FD RENDA - C122,C1807,True,2019-12-05,2019-12-30,25,HIGH
2019-12-05,21090,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0,TOP ESTAMPADO BASICO - 226,C1924,True,2019-12-05,2020-01-04,30,LOW
2019-12-07,15311,UNDERWARE,commodity,ZEE RUCCI,16.0,96,MEDIUM,0.0,0.0,0,CALCINHA JACKARD RENDA - ZR0065,C1729,True,2019-12-07,2019-12-27,20,HIGH
2019-12-07,17026,MODA PRAIA,commodity,CLASS,23.0,84,MEDIUM,0.0,0.0,5,TOP CORTININHA PADRAO LISO - 704B6033,C945,True,2019-12-07,2019-12-27,20,MEDIUM
2019-12-07,22944,UNDERWARE,commodity,FEMINIS,24.0,84,MEDIUM,0.0,0.0,5,CAL STRING RENDA - C109,C1806,True,2019-12-07,2020-01-01,25,HIGH
2019-12-07,33944,MODA PRAIA,seasonal,HERMES BALI,29.0,180,MEDIUM,0.0,0.0,0,CALCA ASA DELTA - HB1908,C2469,True,2019-12-07,2020-01-11,35,HIGH
