product_id,product_name,category,stockout_date,days_until_restocked
2332,01.03.05,UNDERWARE,2020-11-24,0
2889,01.01.23,UNDERWARE,2020-11-24,0
5907,01.01.25,UNDERWARE,2020-11-24,0
6640,01.71.01,UNDERWARE,2020-11-24,0
11233,01.19.113,MODA PRAIA,2020-11-24,0
11305,01.39.5,UNDERWARE,2020-11-24,0
11858,01.21.35,MODA PRAIA,2020-11-24,0
12350,01.19.62,MODA PRAIA,2020-11-24,0
12531,07.02.05,MODA PRAIA,2020-11-24,0
16089,C955,MODA PRAIA,2020-11-24,0
16739,C1941,VESTUARIO,2020-11-24,0
16809,C1420,UNDERWARE,2020-11-24,0
17113,C2167,VESTUARIO,2020-11-24,0
17187,C859,VESTUARIO,2020-11-24,0
17619,C686,VESTUARIO,2020-11-24,0
18227,C2173,VESTUARIO,2020-11-24,0
18254,C2177,VESTUARIO,2020-11-24,0
18269,C2366,VESTUARIO,2020-11-24,0
18822,C1636,VESTUARIO,2020-11-24,0
18850,C1127,VESTUARIO,2020-11-24,0
19017,C1954,VESTUARIO,2020-11-24,0
19100,C1384,VESTUARIO,2020-11-24,0
19147,C1139,VESTUARIO,2020-11-24,0
19186,C1721,VESTUARIO,2020-11-24,0
19348,C2180,LINHA NOITE,2020-11-24,0
20148,01.18.131,MODA PRAIA,2020-11-24,0
20570,C1320,UNDERWARE,2020-11-24,0
20716,C1378,VESTUARIO,2020-11-24,0
20945,C1692,VESTUARIO,2020-11-24,0
22046,C1260,UNDERWARE,2020-11-24,0
22274,C2262,VESTUARIO,2020-11-24,0
22321,C1309,EROTICA,2020-11-24,0
22527,C1749,LINHA NOITE,2020-11-24,0
22537,C1753,LINHA NOITE,2020-11-24,0
22597,C1852,VESTUARIO,2020-11-24,0
23179,C1399,VESTUARIO,2020-11-24,0
23180,C1399,VESTUARIO,2020-11-24,0
23462,C1189,VESTUARIO,2020-11-24,0
23906,C783,LINHA NOITE,2020-11-24,0
27913,C543,UNDERWARE,2020-11-24,0
28050,C1677,LINHA NOITE,2020-11-24,0
29377,C854,VESTUARIO,2020-11-24,0
30180,01.02.78,UNDERWARE,2020-11-24,0
30227,01.03.13,UNDERWARE,2020-11-24,0
30366,C1142,VESTUARIO,2020-11-24,0
31059,C370,UNDERWARE,2020-11-24,0
31173,C1994,MODA PRAIA,2020-11-24,0
31335,C848,VESTUARIO,2020-11-24,0
31960,C2222,VESTUARIO,2020-11-24,0
32796,C2027,UNDERWARE,2020-11-24,0
33239,C2199,VESTUARIO,2020-11-24,0
33312,C2209,VESTUARIO,2020-11-24,0
33571,C2347,VESTUARIO,2020-11-24,0
33612,C2381,VESTUARIO,2020-11-24,0
33802,C2432,VESTUARIO,2020-11-24,0
33904,C2434,VESTUARIO,2020-11-24,0
5922,01.02.03,UNDERWARE,2020-11-24,0
6008,01.01.11,UNDERWARE,2020-11-24,0
10129,01.29.31,UNDERWARE,2020-11-24,0
11246,01.70.53,UNDERWARE,2020-11-24,0
11804,01.59.50,UNDERWARE,2020-11-24,0
11846,01.19.72,MODA PRAIA,2020-11-24,0
12945,01.70.58,UNDERWARE,2020-11-24,0
14345,01.02.83,UNDERWARE,2020-11-24,0
15061,C1804,UNDERWARE,2020-11-24,0
15126,C1777,VESTUARIO,2020-11-24,0
16299,C840,UNDERWARE,2020-11-24,0
16438,C199,UNDERWARE,2020-11-24,0
17178,C859,VESTUARIO,2020-11-24,0
17199,C860,VESTUARIO,2020-11-24,0
17346,C676,VESTUARIO,2020-11-24,0
17544,C978,VESTUARIO,2020-11-24,0
18125,C1380,VESTUARIO,2020-11-24,0
18835,C1127,VESTUARIO,2020-11-24,0
18974,C1951,VESTUARIO,2020-11-24,0
19032,01.18.105,MODA PRAIA,2020-11-24,0
20525,01.19.72,MODA PRAIA,2020-11-24,0
20546,C1258,UNDERWARE,2020-11-24,0
21776,C888,EROTICA,2020-11-24,0
22252,C1866,UNDERWARE,2020-11-24,0
23118,C1359,VESTUARIO,2020-11-24,0
23423,C505,UNDERWARE,2020-11-24,0
23490,C921,VESTUARIO,2020-11-24,0
25685,C414,VESTUARIO,2020-11-24,0
26312,01.01.84,UNDERWARE,2020-11-24,0
26343,01.19.60,MODA PRAIA,2020-11-24,0
28060,C1877,UNDERWARE,2020-11-24,0
28653,C1761,VESTUARIO,2020-11-24,0
28815,01.16.145,VESTUARIO,2020-11-24,0
29004,C1307,VESTUARIO,2020-11-24,0
29063,C1769,UNDERWARE,2020-11-24,0
29069,C1770,UNDERWARE,2020-11-24,0
31529,C476,VESTUARIO,2020-11-24,0
32183,C1981,UNDERWARE,2020-11-24,0
32272,C2231,UNDERWARE,2020-11-24,0
32320,01.01.16,UNDERWARE,2020-11-24,0
33195,C2192,VESTUARIO,2020-11-24,0
34131,C2267,VESTUARIO,2020-11-24,0
34446,C1974,VESTUARIO,2020-11-24,0
34969,C120,FITNESS,2020-11-24,0
35053,C210,MODA PRAIA,2020-11-24,0
35133,C749,LINHA NOITE,2020-11-24,0
52,01.04.03,UNDERWARE,2020-11-24,0
1592,01.02.75,UNDERWARE,2020-11-24,0
6089,01.01.23,UNDERWARE,2020-11-24,0
6704,02.02.25,UNDERWARE,2020-11-24,0
7991,C71,VESTUARIO,2020-11-24,0
8964,01.01.02,UNDERWARE,2020-11-24,0
9141,01.01.20,UNDERWARE,2020-11-24,0
11459,01.24.36,MODA PRAIA,2020-11-24,0
11649,01.19.111,MODA PRAIA,2020-11-24,0
11782,01.70.61,UNDERWARE,2020-11-24,0
11832,01.19.110,MODA PRAIA,2020-11-24,0
12253,01.18.131,MODA PRAIA,2020-11-24,0
13270,01.59.49,UNDERWARE,2020-11-24,0
13272,01.59.50,UNDERWARE,2020-11-24,0
14011,C183,MODA PRAIA,2020-11-24,0
14524,01.70.91,UNDERWARE,2020-11-24,-328
15134,C1779,VESTUARIO,2020-11-24,0
15754,C764,VESTUARIO,2020-11-24,0
16103,01.18.127,MODA PRAIA,2020-11-24,0
16362,C2354,VESTUARIO,2020-11-24,0
16774,C1944,VESTUARIO,2020-11-24,0
16969,C1646,UNDERWARE,2020-11-24,0
16997,01.19.120,MODA PRAIA,2020-11-24,0
17013,C1418,UNDERWARE,2020-11-24,0
18364,01.21.35,MODA PRAIA,2020-11-24,0
