date,total_stock,total_sales_qty,total_sales_value,stockouts,receipts,alerts,slow_movers
2019-12-01,22460,96,3248.37,56,0,28,898
2019-12-02,22382,78,2727.76,46,0,23,887
2019-12-03,22278,104,3611.06,61,0,27,877
2019-12-04,22182,96,2845.37,48,0,33,870
2019-12-05,22091,91,3228.95,53,0,24,859
2019-12-06,22013,78,2495.31,45,0,26,852
2019-12-07,21917,96,3447.98,54,0,28,841
2019-12-08,21800,117,3935.23,60,0,30,833
2019-12-09,21700,100,3225.02,64,0,25,825
2019-12-10,21612,88,2921.44,45,0,26,817
2019-12-11,21510,102,3404.23,60,0,22,804
2019-12-12,21424,86,2700.56,50,0,24,796
2019-12-13,21331,93,2924.28,49,0,27,788
2019-12-14,21224,107,3567.48,53,0,33,778
2019-12-15,21141,83,2749.38,33,0,32,767
2019-12-16,21046,95,3136.81,49,0,28,758
2019-12-17,20958,88,2782.54,51,0,20,754
2019-12-18,20881,77,2653.0,49,0,16,749
2019-12-19,20790,91,2932.58,56,0,20,735
2019-12-20,20716,74,2431.35,34,0,23,729
2019-12-21,20639,77,2503.26,36,0,22,724
2019-12-22,20554,85,2984.74,46,0,24,721
2019-12-23,20465,89,2919.58,56,0,20,713
2019-12-24,20379,86,2777.08,38,0,32,709
2019-12-25,20299,80,2541.49,36,0,26,701
2019-12-26,20211,88,2921.85,45,0,24,696
2019-12-27,20135,76,2417.1,42,0,20,691
2019-12-28,20059,76,2472.32,42,0,16,682
2019-12-29,19968,91,2793.25,50,0,21,673
2019-12-30,19886,82,2844.5,49,0,19,669
2019-12-31,19802,84,2643.65,44,0,22,661
2020-01-01,19720,82,2596.62,43,0,20,655
2020-01-02,19634,86,2755.58,48,0,18,652
2020-01-03,19550,84,2733.96,48,0,21,648
2020-01-04,19467,83,2601.5,50,0,19,638
2020-01-05,19379,88,2693.73,42,0,27,634
2020-01-06,19281,98,2861.94,58,0,28,625
2020-01-07,19199,82,2830.81,45,0,19,620
2020-01-08,19111,88,2807.25,50,0,19,617
2020-01-09,19025,86,2684.23,46,0,18,615
2020-01-10,18940,85,2617.61,46,0,21,606
2020-01-11,18854,86,2685.07,40,0,19,597
2020-01-12,18774,80,2781.68,49,0,12,591
2020-01-13,18702,72,2471.83,38,0,16,585
2020-01-14,18621,81,2745.71,49,0,13,576
2020-01-15,18546,75,2318.65,40,0,13,571
2020-01-16,18486,60,1851.95,30,0,16,564
2020-01-17,18418,68,2130.38,32,0,17,557
2020-01-18,18343,75,2467.09,37,0,21,552
2020-01-19,18260,83,2802.67,46,0,14,547
2020-01-20,18191,69,2053.0,39,0,10,545
2020-01-21,18112,79,2659.28,44,0,24,538
2020-01-22,18022,90,3012.81,46,0,22,530
2020-01-23,17952,70,2358.84,33,0,19,523
2020-01-24,17890,62,2017.06,41,0,7,518
2020-01-25,17835,55,1787.7,33,0,7,516
2020-01-26,17762,73,2266.1,40,0,18,510
2020-01-27,17685,77,2425.95,40,0,13,504
2020-01-28,17619,66,1978.89,36,0,15,503
2020-01-29,17555,64,2576.02,28,0,20,495
2020-01-30,17474,81,2688.93,49,0,14,511
2020-01-31,17407,67,2023.73,38,0,16,521
2020-02-01,17322,85,2893.06,43,0,21,529
2020-02-02,17246,76,2398.05,41,0,12,551
2020-02-03,17189,57,1952.91,30,0,12,566
2020-02-04,17131,58,1764.2,31,0,9,579
2020-02-05,17063,68,2172.75,33,0,10,591
2020-02-06,16990,73,2171.44,41,0,14,625
2020-02-07,16925,65,2081.03,31,0,13,646
2020-02-08,16856,69,2443.63,39,0,16,657
2020-02-09,16782,74,2472.52,38,0,14,677
