alert_date,product_id,category,regime,supplier,coverage_days,quantity,urgency,unit_cost,total_cost,substitutes_count
2019-12-01,17978,FITNESS,commodity,FOREVER FITNESS,27.0,84,MEDIUM,0.0,0.0,0
2019-12-01,19266,UNDERWARE,commodity,FEMINIS,19.0,96,MEDIUM,0.0,0.0,5
2019-12-01,21100,FITNESS,commodity,FOREVER FITNESS,23.0,96,MEDIUM,0.0,0.0,0
2019-12-01,33948,MODA PRAIA,seasonal,HERMES BALI,19.0,240,MEDIUM,0.0,0.0,0
2019-12-02,12761,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,5
2019-12-03,35170,MODA PRAIA,seasonal,CLASS,29.0,228,MEDIUM,0.0,0.0,0
2019-12-04,14653,UNDERWARE,commodity,VI LINGERIE,18.0,96,MEDIUM,0.0,0.0,5
2019-12-04,19269,UNDERWARE,commodity,FEMINIS,24.0,96,MEDIUM,0.0,0.0,5
2019-12-04,19286,UNDERWARE,commodity,FEMINIS,16.0,96,MEDIUM,0.0,0.0,5
2019-12-04,29048,UNDERWARE,commodity,FINA ESTAMPA,15.0,96,MEDIUM,0.0,0.0,5
2019-12-05,14926,UNDERWARE,commodity,FEMINIS,15.0,96,MEDIUM,0.0,0.0,5
2019-12-05,21090,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0
2019-12-07,15311,UNDERWARE,commodity,ZEE RUCCI,16.0,96,MEDIUM,0.0,0.0,0
2019-12-07,17026,MODA PRAIA,commodity,CLASS,23.0,96,MEDIUM,0.0,0.0,5
2019-12-07,22944,UNDERWARE,commodity,FEMINIS,24.0,96,MEDIUM,0.0,0.0,5
2019-12-07,33944,MODA PRAIA,seasonal,HERMES BALI,29.0,228,MEDIUM,0.0,0.0,0
2019-12-08,7884,UNDERWARE,commodity,VI LINGERIE,21.0,96,MEDIUM,19.89,1909.44,5
2019-12-08,33949,MODA PRAIA,seasonal,HERMES BALI,19.0,240,MEDIUM,0.0,0.0,0
2019-12-09,47,UNDERWARE,commodity,TRIFIL,15.0,96,MEDIUM,10.07,966.72,5
2019-12-09,3744,UNDERWARE,commodity,CLASS,24.0,96,MEDIUM,5.48,526.08,5
2019-12-11,16282,UNDERWARE,commodity,TRIFIL,23.0,96,MEDIUM,0.0,0.0,5
2019-12-12,4353,MODA PRAIA,commodity,RIVANNA,16.0,96,MEDIUM,20.93,2009.28,5
2019-12-13,18197,UNDERWARE,commodity,JESCRI,20.0,96,MEDIUM,0.0,0.0,0
2019-12-13,33950,MODA PRAIA,seasonal,HERMES BALI,19.0,240,MEDIUM,0.0,0.0,0
2019-12-14,21072,FITNESS,commodity,FOREVER FITNESS,17.0,96,MEDIUM,0.0,0.0,0
2019-12-14,22950,UNDERWARE,commodity,FEMINIS,20.0,96,MEDIUM,0.0,0.0,5
2019-12-14,22953,UNDERWARE,commodity,FEMINIS,24.0,96,MEDIUM,0.0,0.0,5
2019-12-15,15551,MODA PRAIA,commodity,CLASS,20.0,96,MEDIUM,0.0,0.0,0
2019-12-15,19285,UNDERWARE,commodity,FEMINIS,18.0,96,MEDIUM,0.0,0.0,5
2019-12-15,21982,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2019-12-15,21992,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2019-12-15,29944,UNDERWARE,commodity,CLASS,15.0,96,MEDIUM,5.48,526.08,5
2019-12-17,33956,FITNESS,commodity,FOREVER FITNESS,23.0,96,MEDIUM,0.0,0.0,0
2019-12-19,6575,UNDERWARE,commodity,MASH,22.0,96,MEDIUM,11.86,1138.56,4
2019-12-19,8126,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,13.16,1105.44,5
2019-12-20,13138,UNDERWARE,commodity,VI LINGERIE,15.0,96,MEDIUM,12.9,1238.4,5
2019-12-20,21989,FITNESS,commodity,FOREVER FITNESS,18.0,96,MEDIUM,0.0,0.0,0
2019-12-20,22945,UNDERWARE,commodity,FEMINIS,24.0,96,MEDIUM,0.0,0.0,5
2019-12-21,33946,MODA PRAIA,seasonal,HERMES BALI,29.0,228,MEDIUM,0.0,0.0,0
2019-12-24,8344,UNDERWARE,commodity,ZEE RUCCI,29.5,168,MEDIUM,4.33,727.44,3
2019-12-24,15242,UNDERWARE,commodity,DEMILLUS,15.0,96,MEDIUM,0.0,0.0,5
2019-12-26,16057,MODA PRAIA,seasonal,CLASS,19.0,240,MEDIUM,0.0,0.0,0
2019-12-28,22947,UNDERWARE,commodity,FEMINIS,21.0,96,MEDIUM,0.0,0.0,5
2019-12-29,18006,FITNESS,commodity,FOREVER FITNESS,29.0,84,MEDIUM,0.0,0.0,5
2019-12-29,24820,UNDERWARE,commodity,FINA ESTAMPA,16.0,96,MEDIUM,0.0,0.0,5
2019-12-30,17982,FITNESS,commodity,FOREVER FITNESS,23.0,96,MEDIUM,0.0,0.0,0
2020-01-02,21994,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2020-01-03,20109,MODA PRAIA,seasonal,CLASS,24.0,240,MEDIUM,0.0,0.0,5
2020-01-03,35182,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,0
2020-01-05,5413,MODA PRAIA,commodity,RIVANNA,17.0,192,MEDIUM,20.93,4018.56,5
2020-01-07,18007,FITNESS,commodity,FOREVER FITNESS,29.0,84,MEDIUM,0.0,0.0,0
2020-01-07,21976,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2020-01-07,22952,UNDERWARE,commodity,FEMINIS,24.0,96,MEDIUM,0.0,0.0,5
2020-01-07,26731,MODA PRAIA,commodity,CLASS,30.0,84,MEDIUM,0.0,0.0,0
2020-01-08,16284,UNDERWARE,commodity,TRIFIL,22.0,96,MEDIUM,0.0,0.0,5
2020-01-09,21988,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,5
2020-01-10,15273,MODA PRAIA,seasonal,CLASS,16.0,240,MEDIUM,0.0,0.0,0
2020-01-11,18195,UNDERWARE,commodity,JESCRI,28.0,84,MEDIUM,0.0,0.0,0
2020-01-17,21972,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0
2020-01-17,29052,UNDERWARE,commodity,FINA ESTAMPA,21.0,96,MEDIUM,0.0,0.0,5
2020-01-20,18205,UNDERWARE,commodity,JESCRI,24.0,96,MEDIUM,0.0,0.0,0
2020-01-21,27939,MODA PRAIA,seasonal,CLASS,18.0,240,MEDIUM,0.0,0.0,0
2020-01-22,29027,UNDERWARE,commodity,FINA ESTAMPA,30.0,84,MEDIUM,0.0,0.0,5
2020-01-25,1717,EROTICA,commodity,SEX SHOP,15.0,96,MEDIUM,3.0,288.0,0
2020-01-29,17988,FITNESS,commodity,FOREVER FITNESS,23.0,96,MEDIUM,0.0,0.0,0
2020-02-02,30880,EROTICA,commodity,SEX SHOP,15.0,96,MEDIUM,0.33,31.68,0
2020-02-09,11322,UNDERWARE,commodity,CLASS,19.0,96,MEDIUM,13.14,1261.44,5
2020-02-16,21966,FITNESS,commodity,FOREVER FITNESS,16.0,96,MEDIUM,0.0,0.0,0
2020-02-18,21089,FITNESS,commodity,FOREVER FITNESS,22.0,96,MEDIUM,0.0,0.0,0
2020-02-23,17998,FITNESS,commodity,FOREVER FITNESS,17.0,96,MEDIUM,0.0,0.0,0
2020-02-24,12595,MODA PRAIA,commodity,CLASS,18.0,96,MEDIUM,11.65,1118.4,5
2020-03-01,15274,MODA PRAIA,seasonal,CLASS,15.0,240,MEDIUM,0.0,0.0,0
2020-03-13,21088,FITNESS,commodity,FOREVER FITNESS,22.0,96,MEDIUM,0.0,0.0,0
2020-03-14,16116,MODA PRAIA,commodity,RIVANNA,15.0,96,MEDIUM,0.0,0.0,5
2020-03-18,21101,FITNESS,commodity,FOREVER FITNESS,22.0,96,MEDIUM,0.0,0.0,0
2020-03-27,21984,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0
2020-03-29,14688,UNDERWARE,commodity,LUPO,30.0,84,MEDIUM,0.0,0.0,1
2020-03-29,17984,FITNESS,commodity,FOREVER FITNESS,26.0,84,MEDIUM,0.0,0.0,0
2020-04-04,21102,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,5
2020-04-11,22949,UNDERWARE,commodity,FEMINIS,30.0,84,MEDIUM,0.0,0.0,5
2020-04-12,21094,FITNESS,commodity,FOREVER FITNESS,23.0,96,MEDIUM,0.0,0.0,0
2020-04-14,15307,UNDERWARE,commodity,ZEE RUCCI,15.0,96,MEDIUM,0.0,0.0,5
2020-04-17,15451,UNDERWARE,commodity,FEMINIS,20.0,96,MEDIUM,0.0,0.0,0
2020-04-22,33954,FITNESS,commodity,FOREVER FITNESS,23.0,96,MEDIUM,0.0,0.0,0
2020-05-11,21980,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2020-05-12,21092,FITNESS,commodity,FOREVER FITNESS,23.0,96,MEDIUM,0.0,0.0,0
2020-05-28,8846,UNDERWARE,commodity,TRIFIL,30.0,84,MEDIUM,14.51,1218.84,5
2020-06-02,22948,UNDERWARE,commodity,FEMINIS,30.0,84,MEDIUM,0.0,0.0,5
2020-06-12,18000,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0
2020-06-13,18196,UNDERWARE,commodity,JESCRI,30.0,96,MEDIUM,0.0,0.0,0
2020-07-08,21960,FITNESS,commodity,FOREVER FITNESS,15.0,96,MEDIUM,0.0,0.0,0
2020-07-20,18012,FITNESS,commodity,FOREVER FITNESS,29.0,84,MEDIUM,0.0,0.0,0
2020-07-24,14473,UNDERWARE,commodity,VI LINGERIE,30.0,84,MEDIUM,0.0,0.0,5
2020-08-11,21977,FITNESS,commodity,FOREVER FITNESS,19.0,96,MEDIUM,0.0,0.0,0
2020-08-17,21950,MODA PRAIA,commodity,LAMAR,15.0,96,MEDIUM,0.0,0.0,0
2020-09-04,14475,UNDERWARE,commodity,VI LINGERIE,30.0,84,MEDIUM,0.0,0.0,5
2020-09-09,18008,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0
2020-09-11,17995,FITNESS,commodity,FOREVER FITNESS,30.0,84,MEDIUM,0.0,0.0,0
