date,total_stock,total_sales_qty,total_sales_value,stockouts,receipts,alerts,slow_movers
2019-12-01,22460,96,3248.37,56,0,28,898
2019-12-02,22382,78,2727.76,46,0,23,887
2019-12-03,22278,104,3611.06,61,0,27,877
2019-12-04,22182,96,2845.37,48,0,33,870
2019-12-05,22091,91,3228.95,53,0,24,859
2019-12-06,22013,78,2495.31,45,0,26,852
2019-12-07,21917,96,3447.98,54,0,28,841
2019-12-08,21800,117,3935.23,60,0,30,833
2019-12-09,21700,100,3225.02,64,0,25,825
2019-12-10,21612,88,2921.44,45,0,26,817
2019-12-11,21510,102,3404.23,60,0,22,804
2019-12-12,21424,86,2700.56,50,0,24,796
2019-12-13,21331,93,2924.28,49,0,27,788
2019-12-14,21224,107,3567.48,53,0,33,778
2019-12-15,21141,83,2749.38,33,0,32,767
2019-12-16,21046,95,3136.81,49,0,28,758
2019-12-17,20958,88,2782.54,51,0,20,754
2019-12-18,20881,77,2653.0,49,0,16,749
2019-12-19,20790,91,2932.58,56,0,20,735
2019-12-20,20716,74,2431.35,34,0,23,729
2019-12-21,20639,77,2503.26,36,0,22,724
2019-12-22,20554,85,2984.74,46,0,24,721
2019-12-23,20465,89,2919.58,56,0,20,713
2019-12-24,20379,86,2777.08,38,0,32,709
2019-12-25,20299,80,2541.49,36,0,26,701
2019-12-26,20211,88,2921.85,45,0,24,696
2019-12-27,20135,76,2417.1,42,0,20,691
2019-12-28,20059,76,2472.32,42,0,16,682
2019-12-29,19968,91,2793.25,50,0,21,673
2019-12-30,19886,82,2844.5,49,0,19,669
